"","X.1","X","qElim1","qExtinct1","qElimWithDogs1","qNoElimWithDogs1"
"153",153,"result.153",5,0,5,0
"154",154,"result.154",5,0,5,0
"155",155,"result.155",5,0,5,0
"156",156,"result.156",5,0,5,0
"157",157,"result.157",5,0,5,0
"158",158,"result.158",5,0,5,0
"159",159,"result.159",5,0,5,0
"160",160,"result.160",5,0,5,0
"161",161,"result.161",4,0,4,1
"162",162,"result.162",4,0,4,1
"163",163,"result.163",0,0,0,5
"164",164,"result.164",5,0,5,0
"165",165,"result.165",4,0,4,1
"166",166,"result.166",4,0,4,1
"167",167,"result.167",2,0,2,3
"168",168,"result.168",3,0,3,2
"169",169,"result.169",4,0,4,1
"170",170,"result.170",3,0,3,2
"171",171,"result.171",3,0,3,2
"172",172,"result.172",3,0,3,2
"173",173,"result.173",5,0,5,0
"174",174,"result.174",5,0,5,0
"175",175,"result.175",4,0,4,1
"176",176,"result.176",5,0,5,0
"177",177,"result.177",5,0,5,0
"178",178,"result.178",5,0,5,0
"179",179,"result.179",5,0,5,0
"180",180,"result.180",5,0,5,0
"181",181,"result.181",5,0,5,0
"182",182,"result.182",5,0,5,0
"183",183,"result.183",4,0,4,1
"184",184,"result.184",5,0,5,0
"185",185,"result.185",4,0,4,1
"186",186,"result.186",3,0,3,2
"187",187,"result.187",2,0,2,3
"188",188,"result.188",3,0,3,2
"189",189,"result.189",3,0,3,2
"190",190,"result.190",4,0,4,1
"191",191,"result.191",3,0,3,2
"192",192,"result.192",4,0,4,1
"193",193,"result.193",3,0,3,2
"194",194,"result.194",3,0,3,2
"195",195,"result.195",5,0,5,0
"196",196,"result.196",4,0,4,1
"197",197,"result.197",5,0,5,0
"198",198,"result.198",4,0,4,1
"199",199,"result.199",5,0,5,0
"200",200,"result.200",3,0,3,2
"201",201,"result.201",5,0,5,0
"202",202,"result.202",5,0,5,0
"203",203,"result.203",5,0,5,0
"204",204,"result.204",5,0,5,0
"205",205,"result.205",5,0,5,0
"206",206,"result.206",5,0,5,0
"207",207,"result.207",5,0,5,0
"208",208,"result.208",5,0,5,0
"209",209,"result.209",5,0,5,0
"210",210,"result.210",5,0,5,0
"211",211,"result.211",5,0,5,0
"212",212,"result.212",4,0,4,1
"213",213,"result.213",4,0,4,1
"214",214,"result.214",4,0,4,1
"215",215,"result.215",5,0,5,0
"216",216,"result.216",2,0,2,3
"217",217,"result.217",4,0,4,1
"218",218,"result.218",1,0,1,4
"219",219,"result.219",3,0,3,2
"220",220,"result.220",3,0,3,2
"221",221,"result.221",5,0,5,0
"222",222,"result.222",3,0,3,2
"223",223,"result.223",3,0,3,2
"224",224,"result.224",3,0,3,2
"225",225,"result.225",4,0,4,1
"226",226,"result.226",5,0,5,0
"227",227,"result.227",5,0,5,0
"228",228,"result.228",5,0,5,0
"229",229,"result.229",5,0,5,0
"230",230,"result.230",5,0,5,0
"231",231,"result.231",5,0,5,0
"232",232,"result.232",5,0,5,0
"233",233,"result.233",5,0,5,0
"234",234,"result.234",5,0,5,0
"235",235,"result.235",5,0,5,0
"236",236,"result.236",3,0,3,2
"237",237,"result.237",3,0,3,2
"238",238,"result.238",5,0,5,0
"239",239,"result.239",3,0,3,2
"240",240,"result.240",4,0,4,1
"241",241,"result.241",2,0,2,3
"242",242,"result.242",3,0,3,2
"243",243,"result.243",3,0,3,2
"244",244,"result.244",4,0,4,1
"245",245,"result.245",2,0,2,3
"246",246,"result.246",4,0,4,1
"247",247,"result.247",4,0,4,1
"248",248,"result.248",4,0,4,1
"249",249,"result.249",2,0,2,3
"250",250,"result.250",5,0,5,0
"251",251,"result.251",5,0,5,0
"252",252,"result.252",5,0,5,0
"253",253,"result.253",5,0,5,0
"254",254,"result.254",5,0,5,0
"255",255,"result.255",5,0,5,0
"256",256,"result.256",5,0,5,0
"257",257,"result.257",5,0,5,0
"258",258,"result.258",5,0,5,0
"259",259,"result.259",5,0,5,0
"260",260,"result.260",5,0,5,0
"261",261,"result.261",5,0,5,0
"262",262,"result.262",5,0,5,0
"263",263,"result.263",5,0,5,0
"264",264,"result.264",3,0,3,2
"265",265,"result.265",4,0,4,1
"266",266,"result.266",4,0,4,1
"267",267,"result.267",4,0,4,1
"268",268,"result.268",4,0,4,1
"269",269,"result.269",4,0,4,1
"270",270,"result.270",4,0,4,1
"271",271,"result.271",4,0,4,1
"272",272,"result.272",4,0,4,1
"273",273,"result.273",3,0,3,2
"274",274,"result.274",4,0,4,1
"275",275,"result.275",5,0,5,0
"276",276,"result.276",5,0,5,0
"277",277,"result.277",5,0,5,0
"278",278,"result.278",5,0,5,0
"279",279,"result.279",5,0,5,0
"280",280,"result.280",5,0,5,0
"281",281,"result.281",4,0,4,1
"282",282,"result.282",5,0,5,0
"283",283,"result.283",5,0,5,0
"284",284,"result.284",4,0,4,1
"285",285,"result.285",5,0,5,0
"286",286,"result.286",5,0,5,0
"287",287,"result.287",5,0,5,0
"288",288,"result.288",5,0,5,0
"289",289,"result.289",3,0,3,2
"290",290,"result.290",5,0,5,0
"291",291,"result.291",5,0,5,0
"292",292,"result.292",5,0,5,0
"293",293,"result.293",3,0,3,2
"294",294,"result.294",3,0,3,2
"295",295,"result.295",3,0,3,2
"296",296,"result.296",3,0,3,2
"297",297,"result.297",5,0,5,0
"298",298,"result.298",4,0,4,1
"299",299,"result.299",4,0,4,1
"300",300,"result.300",4,0,4,1
"301",301,"result.301",5,0,5,0
"302",302,"result.302",5,0,5,0
"303",303,"result.303",5,0,5,0
"304",304,"result.304",5,0,5,0
"305",305,"result.305",5,0,5,0
"306",306,"result.306",4,0,4,1
"307",307,"result.307",5,0,5,0
"308",308,"result.308",5,0,5,0
"309",309,"result.309",5,0,5,0
"310",310,"result.310",5,0,5,0
"311",311,"result.311",4,0,4,1
"312",312,"result.312",4,0,4,1
"313",313,"result.313",5,0,5,0
"314",314,"result.314",5,0,5,0
"315",315,"result.315",5,0,5,0
"316",316,"result.316",4,0,4,1
"317",317,"result.317",3,0,3,2
"318",318,"result.318",3,0,3,2
"319",319,"result.319",3,0,3,2
"320",320,"result.320",3,0,3,2
"321",321,"result.321",5,0,5,0
"322",322,"result.322",5,0,5,0
"323",323,"result.323",1,0,1,4
"324",324,"result.324",2,0,2,3
"325",325,"result.325",2,0,2,3
"326",326,"result.326",5,0,5,0
"327",327,"result.327",5,0,5,0
"328",328,"result.328",5,0,5,0
"329",329,"result.329",5,0,5,0
"330",330,"result.330",5,0,5,0
"331",331,"result.331",5,0,5,0
"332",332,"result.332",5,0,5,0
"333",333,"result.333",5,0,5,0
"334",334,"result.334",5,0,5,0
"335",335,"result.335",5,0,5,0
"336",336,"result.336",5,0,5,0
"337",337,"result.337",4,0,4,1
"338",338,"result.338",4,0,4,1
"339",339,"result.339",4,0,4,1
"340",340,"result.340",4,0,4,1
"341",341,"result.341",5,0,5,0
"342",342,"result.342",5,0,5,0
"343",343,"result.343",4,0,4,1
"344",344,"result.344",3,0,3,2
"345",345,"result.345",4,0,4,1
"346",346,"result.346",5,0,5,0
"347",347,"result.347",4,0,4,1
"348",348,"result.348",4,0,4,1
"349",349,"result.349",3,0,3,2
"350",350,"result.350",5,0,5,0
"351",351,"result.351",5,0,5,0
"352",352,"result.352",5,0,5,0
"353",353,"result.353",5,0,5,0
"354",354,"result.354",5,0,5,0
"355",355,"result.355",5,0,5,0
"356",356,"result.356",5,0,5,0
"357",357,"result.357",5,0,5,0
"358",358,"result.358",5,0,5,0
"359",359,"result.359",5,0,5,0
"360",360,"result.360",5,0,5,0
"361",361,"result.361",5,0,5,0
"362",362,"result.362",5,0,5,0
"363",363,"result.363",4,0,4,1
"364",364,"result.364",5,0,5,0
"365",365,"result.365",5,0,5,0
"366",366,"result.366",3,0,3,2
"367",367,"result.367",5,0,5,0
"368",368,"result.368",5,0,5,0
"369",369,"result.369",3,0,3,2
"370",370,"result.370",2,0,2,3
"371",371,"result.371",4,0,4,1
"372",372,"result.372",2,0,2,3
"373",373,"result.373",5,0,5,0
"374",374,"result.374",3,0,3,2
"375",375,"result.375",2,0,2,3
"376",376,"result.376",5,0,5,0
"377",377,"result.377",5,0,5,0
"378",378,"result.378",5,0,5,0
"379",379,"result.379",5,0,5,0
"380",380,"result.380",5,0,5,0
"381",381,"result.381",5,0,5,0
"382",382,"result.382",5,0,5,0
"383",383,"result.383",5,0,5,0
"384",384,"result.384",5,0,5,0
"385",385,"result.385",5,0,5,0
"386",386,"result.386",5,0,5,0
"387",387,"result.387",5,0,5,0
"388",388,"result.388",5,0,5,0
"389",389,"result.389",5,0,5,0
"390",390,"result.390",5,0,5,0
"391",391,"result.391",4,0,4,1
"392",392,"result.392",5,0,5,0
"393",393,"result.393",4,0,4,1
"394",394,"result.394",4,0,4,1
"395",395,"result.395",4,0,4,1
"396",396,"result.396",4,0,4,1
"397",397,"result.397",4,0,4,1
"398",398,"result.398",4,0,4,1
"399",399,"result.399",5,0,5,0
"400",400,"result.400",4,0,4,1
"401",401,"result.401",5,0,5,0
"402",402,"result.402",5,0,5,0
"403",403,"result.403",5,0,5,0
"404",404,"result.404",5,0,5,0
"405",405,"result.405",5,0,5,0
"406",406,"result.406",5,0,5,0
"407",407,"result.407",4,0,4,1
"408",408,"result.408",5,0,5,0
"409",409,"result.409",5,0,5,0
"410",410,"result.410",5,0,5,0
"411",411,"result.411",5,0,5,0
"412",412,"result.412",5,0,5,0
"413",413,"result.413",4,0,4,1
"414",414,"result.414",5,0,5,0
"415",415,"result.415",5,0,5,0
"416",416,"result.416",4,0,4,1
"417",417,"result.417",3,0,3,2
"418",418,"result.418",5,0,5,0
"419",419,"result.419",3,0,3,2
"420",420,"result.420",2,0,2,3
"421",421,"result.421",3,0,3,2
"422",422,"result.422",4,0,4,1
"423",423,"result.423",3,0,3,2
"424",424,"result.424",5,0,5,0
"425",425,"result.425",5,0,5,0
"426",426,"result.426",5,0,5,0
"427",427,"result.427",5,0,5,0
"428",428,"result.428",5,0,5,0
"429",429,"result.429",5,0,5,0
"430",430,"result.430",5,0,5,0
"431",431,"result.431",5,0,5,0
"432",432,"result.432",5,0,5,0
"433",433,"result.433",5,0,5,0
"434",434,"result.434",5,0,5,0
"435",435,"result.435",5,0,5,0
"436",436,"result.436",5,0,5,0
"437",437,"result.437",5,0,5,0
"438",438,"result.438",5,0,5,0
"439",439,"result.439",5,0,5,0
"440",440,"result.440",5,0,5,0
"441",441,"result.441",3,0,3,2
"442",442,"result.442",4,0,4,1
"443",443,"result.443",5,0,5,0
"444",444,"result.444",5,0,5,0
"445",445,"result.445",3,0,3,2
"446",446,"result.446",5,0,5,0
"447",447,"result.447",5,0,5,0
"448",448,"result.448",4,0,4,1
"449",449,"result.449",4,0,4,1
"450",450,"result.450",4,0,4,1
"451",451,"result.451",5,0,5,0
"452",452,"result.452",5,0,5,0
"453",453,"result.453",5,0,5,0
"454",454,"result.454",5,0,5,0
"455",455,"result.455",5,0,5,0
"456",456,"result.456",5,0,5,0
"457",457,"result.457",5,0,5,0
"458",458,"result.458",5,0,5,0
"459",459,"result.459",5,0,5,0
"460",460,"result.460",5,0,5,0
"461",461,"result.461",5,0,5,0
"462",462,"result.462",5,0,5,0
"463",463,"result.463",5,0,5,0
"464",464,"result.464",4,0,4,1
"465",465,"result.465",5,0,5,0
"466",466,"result.466",4,0,4,1
"467",467,"result.467",5,0,5,0
"468",468,"result.468",5,0,5,0
"469",469,"result.469",5,0,5,0
"470",470,"result.470",5,0,5,0
"471",471,"result.471",4,0,4,1
"472",472,"result.472",4,0,4,1
"473",473,"result.473",3,0,3,2
"474",474,"result.474",3,0,3,2
"475",475,"result.475",4,0,4,1
"476",476,"result.476",5,0,5,0
"477",477,"result.477",5,0,5,0
"478",478,"result.478",5,0,5,0
"479",479,"result.479",5,0,5,0
"480",480,"result.480",5,0,5,0
"481",481,"result.481",5,0,5,0
"482",482,"result.482",5,0,5,0
"483",483,"result.483",5,0,5,0
"484",484,"result.484",5,0,5,0
"485",485,"result.485",5,0,5,0
"486",486,"result.486",5,0,5,0
"487",487,"result.487",5,0,5,0
"488",488,"result.488",5,0,5,0
"489",489,"result.489",5,0,5,0
"490",490,"result.490",5,0,5,0
"491",491,"result.491",4,0,4,1
"492",492,"result.492",4,0,4,1
"493",493,"result.493",4,0,4,1
"494",494,"result.494",5,0,5,0
"495",495,"result.495",5,0,5,0
"496",496,"result.496",5,0,5,0
"497",497,"result.497",5,0,5,0
"498",498,"result.498",4,0,4,1
"499",499,"result.499",2,0,2,3
"500",500,"result.500",4,0,4,1
"501",501,"result.501",5,0,5,0
"502",502,"result.502",5,0,5,0
"503",503,"result.503",5,0,5,0
"504",504,"result.504",5,0,5,0
"505",505,"result.505",5,0,5,0
"506",506,"result.506",5,0,5,0
"507",507,"result.507",5,0,5,0
"508",508,"result.508",5,0,5,0
"509",509,"result.509",5,0,5,0
"510",510,"result.510",5,0,5,0
"511",511,"result.511",5,0,5,0
"512",512,"result.512",5,0,5,0
"513",513,"result.513",5,0,5,0
"514",514,"result.514",5,0,5,0
"515",515,"result.515",5,0,5,0
"516",516,"result.516",5,0,5,0
"517",517,"result.517",5,0,5,0
"518",518,"result.518",4,0,4,1
"519",519,"result.519",5,0,5,0
"520",520,"result.520",5,0,5,0
"521",521,"result.521",5,0,5,0
"522",522,"result.522",5,0,5,0
"523",523,"result.523",5,0,5,0
"524",524,"result.524",5,0,5,0
"525",525,"result.525",3,0,3,2
"526",526,"result.526",5,0,5,0
"527",527,"result.527",5,0,5,0
"528",528,"result.528",5,0,5,0
"529",529,"result.529",5,0,5,0
"530",530,"result.530",5,0,5,0
"531",531,"result.531",5,0,5,0
"532",532,"result.532",5,0,5,0
"533",533,"result.533",5,0,5,0
"534",534,"result.534",5,0,5,0
"535",535,"result.535",5,0,5,0
"536",536,"result.536",5,0,5,0
"537",537,"result.537",5,0,5,0
"538",538,"result.538",5,0,5,0
"539",539,"result.539",5,0,5,0
"540",540,"result.540",5,0,5,0
"541",541,"result.541",5,0,5,0
"542",542,"result.542",5,0,5,0
"543",543,"result.543",5,0,5,0
"544",544,"result.544",5,0,5,0
"545",545,"result.545",5,0,5,0
"546",546,"result.546",5,0,5,0
"547",547,"result.547",5,0,5,0
"548",548,"result.548",5,0,5,0
"549",549,"result.549",5,0,5,0
"550",550,"result.550",4,0,4,1
"551",551,"result.551",5,0,5,0
"552",552,"result.552",5,0,5,0
"553",553,"result.553",5,0,5,0
"554",554,"result.554",5,0,5,0
"555",555,"result.555",5,0,5,0
"556",556,"result.556",5,0,5,0
"557",557,"result.557",5,0,5,0
"558",558,"result.558",5,0,5,0
"559",559,"result.559",5,0,5,0
"560",560,"result.560",5,0,5,0
"561",561,"result.561",5,0,5,0
"562",562,"result.562",5,0,5,0
"563",563,"result.563",5,0,5,0
"564",564,"result.564",5,0,5,0
"565",565,"result.565",5,0,5,0
"566",566,"result.566",4,0,4,1
"567",567,"result.567",5,0,5,0
"568",568,"result.568",5,0,5,0
"569",569,"result.569",5,0,5,0
"570",570,"result.570",3,0,3,2
"571",571,"result.571",5,0,5,0
"572",572,"result.572",5,0,5,0
"573",573,"result.573",5,0,5,0
"574",574,"result.574",3,0,3,2
"575",575,"result.575",5,0,5,0
"576",576,"result.576",5,0,5,0
"577",577,"result.577",5,0,5,0
"578",578,"result.578",5,0,5,0
"579",579,"result.579",5,0,5,0
"580",580,"result.580",5,0,5,0
"581",581,"result.581",5,0,5,0
"582",582,"result.582",5,0,5,0
"583",583,"result.583",5,0,5,0
"584",584,"result.584",5,0,5,0
"585",585,"result.585",5,0,5,0
"586",586,"result.586",5,0,5,0
"587",587,"result.587",5,0,5,0
"588",588,"result.588",5,0,5,0
"589",589,"result.589",5,0,5,0
"590",590,"result.590",5,0,5,0
"591",591,"result.591",5,0,5,0
"592",592,"result.592",5,0,5,0
"593",593,"result.593",3,0,3,2
"594",594,"result.594",3,0,3,2
"595",595,"result.595",5,0,5,0
"596",596,"result.596",4,0,4,1
"597",597,"result.597",5,0,5,0
"598",598,"result.598",4,0,4,1
"599",599,"result.599",5,0,5,0
"600",600,"result.600",3,0,3,2
"601",601,"result.601",5,0,5,0
"602",602,"result.602",5,0,5,0
"603",603,"result.603",5,0,5,0
"604",604,"result.604",5,0,5,0
"605",605,"result.605",5,0,5,0
"606",606,"result.606",5,0,5,0
"607",607,"result.607",5,0,5,0
"608",608,"result.608",5,0,5,0
"609",609,"result.609",5,0,5,0
"610",610,"result.610",5,0,5,0
"611",611,"result.611",5,0,5,0
"612",612,"result.612",5,0,5,0
"613",613,"result.613",5,0,5,0
"614",614,"result.614",5,0,5,0
"615",615,"result.615",5,0,5,0
"616",616,"result.616",4,0,4,1
"617",617,"result.617",5,0,5,0
"618",618,"result.618",5,0,5,0
"619",619,"result.619",5,0,5,0
"620",620,"result.620",5,0,5,0
"621",621,"result.621",5,0,5,0
"622",622,"result.622",5,0,5,0
"623",623,"result.623",4,0,4,1
"624",624,"result.624",4,0,4,1
"625",625,"result.625",4,0,4,1
"626",626,"result.626",5,0,5,0
"627",627,"result.627",5,0,5,0
"628",628,"result.628",5,0,5,0
"629",629,"result.629",5,0,5,0
"630",630,"result.630",5,0,5,0
"631",631,"result.631",5,0,5,0
"632",632,"result.632",5,0,5,0
"633",633,"result.633",5,0,5,0
"634",634,"result.634",5,0,5,0
"635",635,"result.635",5,0,5,0
"636",636,"result.636",5,0,5,0
"637",637,"result.637",5,0,5,0
"638",638,"result.638",5,0,5,0
"639",639,"result.639",5,0,5,0
"640",640,"result.640",5,0,5,0
"641",641,"result.641",5,0,5,0
"642",642,"result.642",5,0,5,0
"643",643,"result.643",5,0,5,0
"644",644,"result.644",5,0,5,0
"645",645,"result.645",5,0,5,0
"646",646,"result.646",5,0,5,0
"647",647,"result.647",5,0,5,0
"648",648,"result.648",5,0,5,0
"649",649,"result.649",5,0,5,0
"650",650,"result.650",5,0,5,0
"651",651,"result.651",5,0,5,0
"652",652,"result.652",5,0,5,0
"653",653,"result.653",5,0,5,0
"654",654,"result.654",5,0,5,0
"655",655,"result.655",5,0,5,0
"656",656,"result.656",5,0,5,0
"657",657,"result.657",5,0,5,0
"658",658,"result.658",5,0,5,0
"659",659,"result.659",5,0,5,0
"660",660,"result.660",5,0,5,0
"661",661,"result.661",5,0,5,0
"662",662,"result.662",5,0,5,0
"663",663,"result.663",5,0,5,0
"664",664,"result.664",5,0,5,0
"665",665,"result.665",5,0,5,0
"666",666,"result.666",5,0,5,0
"667",667,"result.667",5,0,5,0
"668",668,"result.668",5,0,5,0
"669",669,"result.669",5,0,5,0
"670",670,"result.670",5,0,5,0
"671",671,"result.671",4,0,4,1
"672",672,"result.672",5,0,5,0
"673",673,"result.673",5,0,5,0
"674",674,"result.674",5,0,5,0
"675",675,"result.675",5,0,5,0
"676",676,"result.676",5,0,5,0
"677",677,"result.677",5,0,5,0
"678",678,"result.678",5,0,5,0
"679",679,"result.679",5,0,5,0
"680",680,"result.680",5,0,5,0
"681",681,"result.681",5,0,5,0
"682",682,"result.682",5,0,5,0
"683",683,"result.683",5,0,5,0
"684",684,"result.684",5,0,5,0
"685",685,"result.685",5,0,5,0
"686",686,"result.686",5,0,5,0
"687",687,"result.687",5,0,5,0
"688",688,"result.688",5,0,5,0
"689",689,"result.689",5,0,5,0
"690",690,"result.690",5,0,5,0
"691",691,"result.691",5,0,5,0
"692",692,"result.692",5,0,5,0
"693",693,"result.693",5,0,5,0
"694",694,"result.694",5,0,5,0
"695",695,"result.695",5,0,5,0
"696",696,"result.696",5,0,5,0
"697",697,"result.697",5,0,5,0
"698",698,"result.698",5,0,5,0
"699",699,"result.699",4,0,4,1
"700",700,"result.700",5,0,5,0
"701",701,"result.701",5,0,5,0
"702",702,"result.702",5,0,5,0
"703",703,"result.703",5,0,5,0
"704",704,"result.704",5,0,5,0
"705",705,"result.705",5,0,5,0
"706",706,"result.706",5,0,5,0
"707",707,"result.707",5,0,5,0
"708",708,"result.708",5,0,5,0
"709",709,"result.709",5,0,5,0
"710",710,"result.710",5,0,5,0
"711",711,"result.711",5,0,5,0
"712",712,"result.712",5,0,5,0
"713",713,"result.713",5,0,5,0
"714",714,"result.714",5,0,5,0
"715",715,"result.715",5,0,5,0
"716",716,"result.716",5,0,5,0
"717",717,"result.717",5,0,5,0
"718",718,"result.718",5,0,5,0
"719",719,"result.719",5,0,5,0
"720",720,"result.720",5,0,5,0
"721",721,"result.721",5,0,5,0
"722",722,"result.722",5,0,5,0
"723",723,"result.723",5,0,5,0
"724",724,"result.724",3,0,3,2
"725",725,"result.725",4,0,4,1
"726",726,"result.726",5,0,5,0
"727",727,"result.727",5,0,5,0
"728",728,"result.728",5,0,5,0
"729",729,"result.729",5,0,5,0
"730",730,"result.730",5,0,5,0
"731",731,"result.731",5,0,5,0
"732",732,"result.732",5,0,5,0
"733",733,"result.733",5,0,5,0
"734",734,"result.734",5,0,5,0
"735",735,"result.735",5,0,5,0
"736",736,"result.736",5,0,5,0
"737",737,"result.737",5,0,5,0
"738",738,"result.738",5,0,5,0
"739",739,"result.739",5,0,5,0
"740",740,"result.740",5,0,5,0
"741",741,"result.741",5,0,5,0
"742",742,"result.742",5,0,5,0
"743",743,"result.743",5,0,5,0
"744",744,"result.744",5,0,5,0
"745",745,"result.745",5,0,5,0
"746",746,"result.746",4,0,4,1
"747",747,"result.747",4,0,4,1
"748",748,"result.748",5,0,5,0
"749",749,"result.749",5,0,5,0
"750",750,"result.750",5,0,5,0
"751",751,"result.751",5,0,5,0
"752",752,"result.752",5,0,5,0
"753",753,"result.753",5,0,5,0
"754",754,"result.754",5,0,5,0
"755",755,"result.755",5,0,5,0
"756",756,"result.756",5,0,5,0
"757",757,"result.757",5,0,5,0
"758",758,"result.758",5,0,5,0
"759",759,"result.759",5,0,5,0
"760",760,"result.760",5,0,5,0
"761",761,"result.761",5,0,5,0
"762",762,"result.762",5,0,5,0
"763",763,"result.763",5,0,5,0
"764",764,"result.764",5,0,5,0
"765",765,"result.765",5,0,5,0
"766",766,"result.766",5,0,5,0
"767",767,"result.767",5,0,5,0
"768",768,"result.768",5,0,5,0
"769",769,"result.769",5,0,5,0
"770",770,"result.770",5,0,5,0
"771",771,"result.771",5,0,5,0
"772",772,"result.772",5,0,5,0
"773",773,"result.773",5,0,5,0
